,Year,Jurisdiction,NumberOfDeaths,Population,DeathsPerCapita,DeathsPer100000
0,2015,Alabama,77032,4852347,0.015875204308348104,1588.0
1,2015,Alaska,2254,737498,0.0030562794746562027,306.0
2,2015,Arizona,79724,6829676,0.011673174540051387,1168.0
3,2015,Arkansas,47900,2978048,0.01608436129975071,1609.0
4,2015,California,411494,38918045,0.010573347145263848,1058.0
5,2015,Colorado,52014,5450623,0.009542762359458726,955.0
6,2015,Connecticut,46420,3587122,0.012940736334030457,1295.0
7,2015,Delaware,9656,941252,0.01025867674119152,1026.0
8,2015,District of Columbia,4288,675400,0.006348830322771691,635.0
9,2015,Florida,300646,20209042,0.014876806134600542,1488.0
10,2015,Georgia,124372,10178447,0.012219152882556641,1222.0
11,2015,Hawaii,13758,1422052,0.009674751696843715,968.0
12,2015,Idaho,16180,1651059,0.009799770934896935,980.0
13,2015,Illinois,166606,12858913,0.012956460627737353,1296.0
14,2015,Indiana,98626,6608422,0.014924289036021004,1493.0
15,2015,Iowa,43514,3120960,0.013942504870296319,1395.0
16,2015,Kansas,37640,2909011,0.012939105421052035,1294.0
17,2015,Kentucky,71484,4425976,0.016151013923256703,1616.0
18,2015,Louisiana,67470,4664628,0.014464175921423959,1447.0
19,2015,Maine,19000,1328262,0.014304406811306805,1431.0
20,2015,Maryland,73226,5985562,0.01223377186636777,1224.0
21,2015,Massachusetts,90938,6794228,0.013384596454519926,1339.0
22,2015,Michigan,149264,9931715,0.015029025702006149,1503.0
23,2015,Minnesota,62126,5482032,0.011332659130774867,1134.0
24,2015,Mississippi,48352,2988471,0.01617951119485516,1618.0
25,2015,Missouri,97208,6071732,0.016009929292004323,1601.0
26,2015,Montana,10986,1030475,0.010661102889444189,1067.0
27,2015,Nebraska,22774,1891277,0.012041599406115551,1205.0
28,2015,Nevada,33106,2866939,0.011547507637937186,1155.0
29,2015,New Hampshire,13938,1336350,0.010429902345942306,1043.0
30,2015,New Jersey,114642,8867949,0.012927679218723518,1293.0
31,2015,New Mexico,20346,2089291,0.009738231773362352,974.0
32,2015,New York,159022,19654666,0.008090801441245554,810.0
34,2015,North Carolina,139298,10031646,0.013885856817515292,1389.0
35,2015,North Dakota,6050,754066,0.008023170385616113,803.0
36,2015,Ohio,185472,11617527,0.015964843464534233,1597.0
37,2015,Oklahoma,57430,3909500,0.014689858038112291,1469.0
38,2015,Oregon,51406,4015792,0.012800961802802536,1281.0
39,2015,Pennsylvania,209764,12784826,0.016407262797319258,1641.0
41,2015,Rhode Island,11624,1056065,0.011006898249634255,1101.0
42,2015,South Carolina,70674,4891938,0.01444703510142606,1445.0
43,2015,South Dakota,7938,853988,0.009295212579099472,930.0
44,2015,Tennessee,108618,6591170,0.016479320060019693,1648.0
45,2015,Texas,294458,27470056,0.010719235519578119,1072.0
46,2015,Utah,22172,2981835,0.007435689768213198,744.0
47,2015,Vermont,5226,625216,0.008358711229399119,836.0
48,2015,Virginia,100928,8361808,0.012070116893379996,1208.0
49,2015,Washington,81446,7163657,0.01136933273047551,1137.0
50,2015,West Virginia,30350,1842050,0.016476208571971445,1648.0
51,2015,Wisconsin,70794,5760940,0.01228861956555701,1229.0
52,2015,Wyoming,2830,585613,0.004832542993410324,484.0
53,2016,Alabama,79430,4863525,0.016331775821035153,1634.0
54,2016,Alaska,2322,741456,0.0031316760536026413,314.0
55,2016,Arizona,81866,6941072,0.011794431753481306,1180.0
